PLOT_NAME,CBH,LAI,TBA,MDBH,MLAI,OLAI,SDHT,SDSD,ULAI,GCvol,MSvol,MaxSD,MaxSH,MaxTH,MinSD,OSvol,SDSHT,USvol,LF_ASP,LF_CBD,LF_EVC,LF_EVT,MeanSA,MeanSD,MeanSH,MeanTH,TreesN,latlon,LF_EVEL,LF_SLPD,ShrubsN,LF_FDist,Basalarea,LF_FBFM13,LF_FBFM40,shrubArea,Unnamed: 0,scaledShrubArea
CASBC_0008_20241117_1,3.0,0.6,4.6,10.0,0.4,0.0,1.2,4.8,0.4,0.1,0.2,19.6,3.0,10.3,0,0.0,0.3,0.1,253,1,Tree Cover = 34%,California Coastal Live Oak Woodland and Savanna,7.2,6.2,2.9,8.5,6,"[34.692245320959465, -120.05366396047476]",384,14,25,No Disturbance,31.2,FBFM5,GS3,179.4,25%,1211.8
CASBC_0009_20240911_1,3.0,1.0,9.7,14.1,0.6,0.0,1.6,5.7,0.5,0.2,0.2,26.4,3.0,10.4,0,0.0,0.4,0.1,252,0,Shrub Cover = 45%,Northern and Central California Dry-Mesic Chaparral,6.0,8.2,2.8,7.2,7,"[34.69180643992484, -120.05340670590176]",394,19,26,No Disturbance,72.2,FBFM4,SH5,154.8,25%,1156.1
CASBC_0009_20241117_1,3.2,0.9,11.0,15.9,0.6,0.0,2.1,5.2,0.4,0.1,0.2,21.4,3.0,10.5,0,0.0,0.3,0.1,252,0,Shrub Cover = 45%,Northern and Central California Dry-Mesic Chaparral,6.4,7.6,2.9,7.4,6,"[34.69180643992484, -120.05340670590176]",394,19,26,No Disturbance,72.3,FBFM4,SH5,166.7,25%,1094.8
CASBC_0010_20240912_1,2.9,1.5,3.5,9.6,0.8,0.0,1.7,6.3,0.9,0.1,0.3,27.5,3.0,10.4,0,0.0,0.1,0.1,249,0,Herb Cover = 43%,California Ruderal Grassland and Meadow,6.7,9.6,3.0,7.7,6,"[34.691345254361494, -120.05371770789067]",376,9,38,No Disturbance,24.4,FBFM2,GR2,254.2,25%,1746.8
CASBC_0010_20241117_1,3.2,1.4,9.5,11.2,0.8,0.0,2.5,6.9,0.8,0.1,0.3,29.4,3.0,14.5,0,0.0,0.5,0.1,249,0,Herb Cover = 43%,California Ruderal Grassland and Meadow,6.1,11.5,2.9,9.3,10,"[34.691345254361494, -120.05371770789067]",376,9,41,No Disturbance,63.7,FBFM2,GR2,248.1,25%,1659.7
CASBC_0011_20240913_1,2.5,0.7,4.4,14.2,0.4,0.0,0.6,3.9,0.5,0.1,0.1,15.7,3.0,8.1,0,0.0,0.2,0.0,194,0,Shrub Cover = 42%,Northern and Central California Dry-Mesic Chaparral,5.2,5.1,2.9,7.3,4,"[34.69133635210702, -120.05260492371372]",401,10,16,No Disturbance,36.2,FBFM4,SH5,83.6,25%,683.2
CASBC_0012_20240913_1,2.5,0.7,4.2,9.7,0.3,0.0,1.7,5.4,0.5,0.1,0.1,25.1,3.0,9.5,0,0.0,0.2,0.0,225,0,Shrub Cover = 44%,Southern California Coastal Scrub,6.0,7.7,2.9,6.5,6,"[34.690828785253565, -120.05323404109392]",382,14,28,No Disturbance,27.1,FBFM5,GS2,167.7,25%,1087.4
CASBC_0012_20241117_1,2.6,0.6,14.9,18.1,0.3,0.0,1.0,6.1,0.4,0.1,0.1,25.6,3.0,7.3,0,0.0,0.4,0.0,225,0,Shrub Cover = 44%,Southern California Coastal Scrub,5.8,8.5,2.8,6.2,5,"[34.690828785253565, -120.05323404109392]",382,14,31,No Disturbance,103.7,FBFM5,GS2,180.0,25%,1255.7
CASBC_0013_20240913_1,2.5,0.6,4.8,12.3,0.2,0,1.3,4.9,0.5,0.1,0.1,17.9,3.0,7.9,0,0,0.2,0.1,262,0,Shrub Cover = 38%,Northern and Central California Dry-Mesic Chaparral,6.9,5.9,3.0,7.0,5,"[34.69078385520307, -120.05212254247034]",398,12,16,No Disturbance,41.5,FBFM5,SH4,111.2,25%,957.1
CASBC_0014_20240913_1,3.3,1.3,5.8,16.1,0.8,0.0,1.8,6.5,0.6,0.1,0.3,27.0,3.0,13.1,0,0.0,0.2,0.1,232,1,Tree Cover = 39%,California Coastal Live Oak Woodland and Savanna,6.8,10.1,2.9,10.7,4,"[34.6905413510512, -120.05364800408394]",371,10,31,No Disturbance,37.7,FBFM5,GS3,209.8,25%,1369.4
CASBC_0024_20240912_1,4.4,1.1,5.7,11.8,0.9,0.0,2.0,7.1,0.4,0.1,0.2,27.3,3.0,11.3,0,0.0,0.0,0.0,202,6,Tree Cover = 38%,Californian Ruderal Forest,5.4,10.3,3.0,9.1,7,"[34.68979043876528, -120.05309218645912]",369,8,22,No Disturbance,33.5,FBFM10,TU3,118.0,25%,698.0
CASBC_0025_20240912_1,4.0,1.1,1.7,10.0,0.8,0.0,2.2,6.2,0.4,0.1,0.3,26.3,3.0,12.1,0,0.0,0.2,0.0,79,6,Tree Cover = 36%,Mediterranean California Foothill and Lower Montane Riparian Woodland,5.2,9.7,2.9,10.5,3,"[34.68961031995255, -120.05309857535387]",365,4,29,No Disturbance,10.8,FBFM8,TL3,150.6,25%,973.6
CASBC_0026_20240912_1,3.0,1.0,11.5,15.6,0.6,0.1,1.1,6.5,0.6,0.1,0.2,27.4,3.0,12.5,0,0.0,0.3,0.1,182,0,Developed-Upland Shrubland,Western Warm Temperate Urban Shrubland,5.3,10.6,2.8,10.7,8,"[34.69032551766543, -120.05285495443064]",376,7,31,No Disturbance,85.1,FBFM5,GS1,163.7,25%,1208.7
CASBC_0027_20240912_1,3.1,1.2,5.3,12.9,0.8,0.0,2.2,6.5,0.6,0.1,0.2,27.3,3.0,12.6,0,0.0,0.3,0.1,211,6,Developed-Upland Mixed Forest,Western Warm Temperate Urban Mixed Forest,5.9,9.5,2.9,9.4,5,"[34.69014539890699, -120.05286134396651]",371,8,33,No Disturbance,37.0,FBFM8,TL3,193.8,25%,1343.3
CASBC_0028_20240912_1,4.4,1.6,7.4,11.1,1.1,0.1,1.5,7.4,0.6,0.1,0.2,29.1,3.0,13.4,0,0.1,0.3,0.0,211,6,Developed-Upland Mixed Forest,Western Warm Temperate Urban Mixed Forest,5.6,12.2,2.9,11.2,9,"[34.68996528014218, -120.05286773344581]",371,8,34,No Disturbance,46.2,FBFM8,TL3,190.9,25%,1195.9
CASBC_0029_20240912_1,4.2,1.7,4.3,11.0,1.2,0.2,1.7,6.8,0.7,0.1,0.3,27.7,3.0,14.5,0,0.1,0.0,0.1,228,1,Tree Cover = 39%,California Coastal Live Oak Woodland and Savanna,6.1,11.5,3.0,12.1,6,"[34.68978516137108, -120.05287412286839]",365,5,44,No Disturbance,26.0,FBFM5,GS3,267.2,25%,1616.4
CASBC_0030_20240912_1,3.5,0.8,3.8,7.8,0.5,0.1,1.7,6.0,0.4,0.1,0.2,26.6,3.0,14.1,0,0.1,0.2,0.1,228,1,Tree Cover = 39%,California Coastal Live Oak Woodland and Savanna,6.7,8.8,2.9,11.9,6,"[34.689605042593556, -120.05288051223421]",365,5,31,No Disturbance,23.3,FBFM5,GS3,207.5,25%,1278.4
CASBC_0031_20240912_1,4.1,1.2,10.4,15.1,0.9,0.1,2.5,6.8,0.5,0.1,0.3,27.1,3.0,13.6,0,0.1,0.0,0.1,236,1,Tree Cover = 34%,California Coastal Live Oak Woodland and Savanna,6.3,11.2,3.0,10.5,7,"[34.69032023977597, -120.05263688948327]",377,11,32,No Disturbance,65.9,FBFM5,GS3,201.6,25%,1278.5
CASBC_0032_20240912_1,4.3,1.5,3.1,10.3,1.1,0.2,2.1,7.3,0.5,0.1,0.2,28.2,3.0,13.7,0,0.1,0.2,0.0,211,6,Developed-Upland Mixed Forest,Western Warm Temperate Urban Mixed Forest,5.4,12.1,2.9,12.0,5,"[34.690140121052806, -120.05264327949033]",371,8,30,No Disturbance,19.2,FBFM8,TL3,161.0,25%,987.0
CASBC_0033_20240912_1,3.6,1.4,9.0,12.5,0.9,0.2,1.1,6.3,0.6,0.1,0.2,27.4,3.0,14.1,0,0.1,0.2,0.1,254,0,Developed-Upland Shrubland,Western Warm Temperate Urban Shrubland,6.1,9.7,2.9,12.4,7,"[34.689960002323275, -120.05264966944068]",369,11,39,No Disturbance,56.0,FBFM5,GS1,236.1,25%,1476.9
CASBC_0034_20240912_1,3.0,1.4,4.9,11.0,0.9,0.1,2.7,6.9,0.7,0.1,0.2,28.0,3.0,11.2,0,0.0,0.5,0.1,254,0,Developed-Upland Shrubland,Western Warm Temperate Urban Shrubland,5.2,11.4,2.9,7.2,5,"[34.68977988358737, -120.05265605933427]",369,11,39,No Disturbance,31.9,FBFM5,GS1,203.4,25%,1334.3
